,_id_x,auction_location,auction_time,city_url,date_of_auction,date_of_scraping,deposit,law_firm,listing_url,principal_amount,principal_date,property_address,_id_y,bathrooms,bedrooms,lat,lgn,lot_size,region_name,unique_id,zcity,zestimate,zpid,zstate,zstreet_address,zzip
0,5cb0e246737ae133ac3c0494,"520 King Street, Alexandria, VA 22314",12:30 PM,http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,2019-04-02 00:00:00,2019-04-12 19:08:54.068,15121.0,"Terra Abstract Virginia, Inc., http://www.terraabstract.com",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty/listings/94014/00024934.html,151210,1982-08-24 00:00:00,"31 canterbury square, apt. 201, alexandria, virginia 22304",5cb0ec7d737ae134b821f003,1.0,,38.813867,-77.121951,,Landmark-Van Dom,5cb0e246737ae133ac3c0494,Alexandria,163859.0,192147210,VA,31 Canterbury Sq APT 201,22304
1,5cb0e766737ae134b821ee90,"520 King Street, Alexandria, VA 22314",12:30 PM,http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,2019-04-02 00:00:00,2019-04-12 19:30:46.050,15121.0,"Terra Abstract Virginia, Inc., http://www.terraabstract.com",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty/listings/94014/00024934.html,151210,1982-08-24 00:00:00,"31 canterbury square, apt. 201, alexandria, virginia 22304",5cb0ec7d737ae134b821f004,1.0,,38.813867,-77.121951,,Landmark-Van Dom,5cb0e766737ae134b821ee90,Alexandria,163859.0,192147210,VA,31 Canterbury Sq APT 201,22304
2,5cb0e769737ae134b821ee91,"520 King Street, Alexandria, VA 22314",11:00 o'clock a.m.,http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,2019-03-25 00:00:00,2019-04-12 19:30:49.417,5000.0,"Stephen K. Christenson, P.C., http://www.stephenkchristenson.com/",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty/listings/94029/00024652.html,-1,2013-08-30 00:00:00,"3314 s. 28th street, #203, alexandria, va 22302",5cb0ec7d737ae134b821f005,1.0,,38.838223,-77.106478,,Alexandria West,5cb0e769737ae134b821ee91,Alexandria,209401.0,192149558,VA,3314 S 28th St APT 203,22302
3,5cb0e76c737ae134b821ee92,"520 King Street, Alexandria, VA 22314",9:00 AM,http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,2019-05-03 00:00:00,2019-04-12 19:30:52.743,21499.9,"BWW Law Group, LLC, http://www.bwwsales.com",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty/listings/94810/00025803.html,214999,2009-07-30 00:00:00,"3407 valley drive, alexandria, va 22302",5cb0ec7d737ae134b821f006,1.0,,38.836452,-77.07937,,North Ridge-Rosemont,5cb0e76c737ae134b821ee92,Alexandria,321055.0,192143023,VA,3407 Valley Dr # 701,22302
4,5cb0e770737ae134b821ee93,"18 E Market St, Leesburg, VA 20176",9:30 AM,http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,2019-05-07 00:00:00,2019-04-12 19:30:56.105,25462.800000000003,"BWW Law Group, LLC, http://www.bwwsales.com",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty/listings/94876/00025804.html,254628,2005-06-21 00:00:00,44465,5cb0ec7e737ae134b821f007,1.0,,38.836452,-77.07937,,North Ridge-Rosemont,5cb0e770737ae134b821ee93,Alexandria,321055.0,192143023,VA,3407 Valley Dr # 701,22302
5,5cb0e773737ae134b821ee94,"520 King Street, Alexandria, VA 22314",9:00 AM,http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,2019-04-12 00:00:00,2019-04-12 19:30:59.472,10875.0,"BWW Law Group, LLC, http://www.bwwsales.com",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty/listings/94142/00025074.html,108750,2001-05-25 00:00:00,"3408 gunston road # 735, alexandria, va 22302",5cb0ec7e737ae134b821f008,1.0,,38.836441,-77.077834,,North Ridge-Rosemont,5cb0e773737ae134b821ee94,Alexandria,327169.0,192143024,VA,3408 Gunston Rd # 735,22302
6,5cb0e776737ae134b821ee95,"520 King Street, Alexandria, VA 22314",9:00 AM,http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty.html,2019-04-12 00:00:00,2019-04-12 19:31:02.817,5075.0,"BWW Law Group, LLC, http://www.bwwsales.com",http://classified.washingtontimes.com/category/354/Foreclosure-Sales-ALEX-Cty/listings/94406/00025420.html,50750,1981-06-25 00:00:00,"402 bashford lane apt 202, alexandria, va 22314",5cb0ec7e737ae134b821f009,1.0,1,38.817837,-77.041377,,Old Town North,5cb0e776737ae134b821ee95,Alexandria,271382.0,192145261,VA,402 Bashford Ln APT 202,22314
7,5cb0e77a737ae134b821ee96,"18 E Market St, Leesburg, VA 20176",9:30 AM,http://classified.washingtontimes.com/category/405/Forclosure-Sales-VA.html,2019-04-15 00:00:00,2019-04-12 19:31:06.382,20000.0,"Rosenberg & Associates, http://www.rosenberg-assoc.com, Bethesda, Maryland, 301-907-8000",http://classified.washingtontimes.com/category/405/Forclosure-Sales-VA/listings/94470/00025218.html,278629,2007-02-16 00:00:00,"114 catoctin circle, sw, leesburg, va 20175",5cb0ec7f737ae134b821f00a,3.0,3,39.108764,-77.570362,2178,Leesburg,5cb0e77a737ae134b821ee96,Leesburg,274835.0,12411673,VA,114 Catoctin Cir SW,20175
8,5cb0e77d737ae134b821ee97,"18 E Market St, Leesburg, VA 20176",10:30 AM,http://classified.washingtontimes.com/category/405/Forclosure-Sales-VA.html,2019-04-29 00:00:00,2019-04-12 19:31:09.707,20000.0,"Samuel I. White, PC, Law Firm, http://www.siwpc.com",http://classified.washingtontimes.com/category/405/Forclosure-Sales-VA/listings/94474/00025541.html,75000,2008-06-11 00:00:00,"3 berkeley court, sterling, va 20165",5cb0ec7f737ae134b821f00b,2.5,3,39.043964,-77.411509,1742,Sterling,5cb0e77d737ae134b821ee97,Sterling,363282.0,12386539,VA,3 Berkeley Ct,20165
9,5cb0e781737ae134b821ee98,"520 King Street, Alexandria, VA 22314",11:00 AM,http://classified.washingtontimes.com/category/405/Forclosure-Sales-VA.html,4005-01-11 00:00:00,2019-04-12 19:31:13.038,76000.0,"BROCK & SCOTT, PLLC, http://www.mid-atlanticauctioneers.com",http://classified.washingtontimes.com/category/405/Forclosure-Sales-VA/listings/94475/00025497.html,76000,2006-11-21 00:00:00,"1825 potomac greens drive alexandria, va 22314",5cb0ec7f737ae134b821f00c,3.5,,38.829816,-77.045387,1280,Potomac Yard-Potomac Greens,5cb0e781737ae134b821ee98,Alexandria,915562.0,192157449,VA,1825 Potomac Greens Dr,22314
